dataset;pretty_name;preprocessA;normalise_by_num_nodes;batch_size;mean_acc;acc_std;mean_train_time(s);time_std;all_accs;all_times
ENZYMES;ENZYMES;['add_self_loops', 'sym_normalise_A'];True;50;0.18100000247359277;0.017000001975718815;22.901275849342348;0.19271888439219378;[0.1600000038743019, 0.20000000298023224, 0.17999999970197678, 0.1900000050663948, 0.14999999850988388, 0.1900000050663948, 0.1599999964237213, 0.20000000298023224, 0.1900000050663948, 0.1900000050663948];[22.773975133895874, 22.6385600566864, 22.688475608825684, 22.812707901000977, 22.8261821269989, 22.899269342422485, 22.852338075637817, 23.19681715965271, 23.13492512702942, 23.189507961273193]
MUTAG;MUTAG;['add_self_loops', 'sym_normalise_A'];True;50;0.6920760273933411;0.06148914728623438;5.618754529953003;0.22681247299425472;[0.6499999761581421, 0.6499999761581421, 0.6499999761581421, 0.8421052694320679, 0.6842105388641357, 0.7777777910232544, 0.6666666865348816, 0.6666666865348816, 0.6666666865348816, 0.6666666865348816];[5.254011631011963, 5.486251592636108, 5.3910346031188965, 5.41103720664978, 5.494852542877197, 5.813274145126343, 5.712569713592529, 5.794357538223267, 5.900953054428101, 5.929203271865845]
NCI1;NCI-1;['add_self_loops', 'sym_normalise_A'];True;50;0.5640000012185838;0.07277090802832845;88.9525946855545;0.2582443851230961;[0.611111107799742, 0.5022222234143151, 0.6044444441795349, 0.6844444473584493, 0.6466666691833072, 0.466666665342119, 0.566666669315762, 0.5022222267256843, 0.4644444419278039, 0.5911111169391208];[88.94784283638, 88.82606506347656, 88.83698868751526, 88.73875451087952, 88.64683675765991, 88.83218932151794, 88.8410894870758, 89.03585433959961, 89.25901961326599, 89.56130623817444]
NCI109;NCI-109;['add_self_loops', 'sym_normalise_A'];True;50;0.5820000032583872;0.050912175399617496;240.8341835260391;71.40237219853756;[0.5111111137602065, 0.6377777854601542, 0.600000003973643, 0.6200000113911099, 0.6177777780426873, 0.6555555595291985, 0.5755555629730225, 0.5377777715524038, 0.5666666660043929, 0.497777779897054];[113.55658721923828, 90.32135248184204, 249.2518298625946, 288.6169490814209, 287.737179517746, 289.27955746650696, 288.7203178405762, 289.1505320072174, 264.504399061203, 247.2031307220459]
PTC_MM;PTC-MM;['add_self_loops', 'sym_normalise_A'];True;50;0.6100935816764832;0.014958413529189188;24.289674735069276;12.139450127968084;[0.6176470518112183, 0.6176470518112183, 0.6176470518112183, 0.6176470518112183, 0.6176470518112183, 0.6176470518112183, 0.5882353186607361, 0.6060606241226196, 0.5757575631141663, 0.625];[35.529821157455444, 36.67527651786804, 12.226208925247192, 11.973288774490356, 12.052158117294312, 12.157883882522583, 12.416328430175781, 35.33449983596802, 37.115923166275024, 37.415358543395996]
PTC_FM;PTC-FM;['add_self_loops', 'sym_normalise_A'];True;50;0.6214846074581146;0.04367588210188885;27.907767486572265;11.915625777583555;[0.6388888955116272, 0.5833333134651184, 0.6111111044883728, 0.7142857313156128, 0.6285714507102966, 0.6857143044471741, 0.5882353186607361, 0.5882353186607361, 0.5882353186607361, 0.5882353186607361];[38.373544216156006, 39.230873107910156, 27.52599787712097, 13.383971929550171, 14.307985067367554, 13.833173274993896, 14.13547158241272, 39.57751655578613, 39.24566316604614, 39.463478088378906]
PTC_MR;PTC-MR;['add_self_loops', 'sym_normalise_A'];True;50;0.5552287638187409;0.008701642468153808;28.49437062740326;12.730706175763196;[0.5555555820465088, 0.5555555820465088, 0.5588235259056091, 0.5588235259056091, 0.5588235259056091, 0.5588235259056091, 0.5588235259056091, 0.529411792755127, 0.5588235259056091, 0.5588235259056091];[40.03706955909729, 41.988603353500366, 15.000721454620361, 15.13758897781372, 15.482413053512573, 15.585797309875488, 17.80630612373352, 42.4379506111145, 40.142396450042725, 41.324859380722046]
PTC_FR;PTC-FR;['add_self_loops', 'sym_normalise_A'];True;50;0.6553174793720246;0.0054761946201324465;31.60461974143982;12.377293641663282;[0.6388888955116272, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354];[42.883556842803955, 26.813502311706543, 16.888256311416626, 17.04037833213806, 17.228047370910645, 19.65998125076294, 43.70539665222168, 44.48598337173462, 44.005579471588135, 43.33551549911499]
ENZYMES;ENZYMES;['add_self_loops', 'sym_normalise_A'];False;50;0.2710000015795231;0.051078371323942454;70.27806718349457;34.44750311778373;[0.29999999701976776, 0.3100000023841858, 0.20000000298023224, 0.26999999582767487, 0.20000000298023224, 0.3500000089406967, 0.20000000298023224, 0.3100000023841858, 0.27000000327825546, 0.29999999701976776];[33.814778089523315, 35.98142099380493, 119.84693908691406, 101.64832377433777, 34.92228102684021, 50.46580410003662, 121.34689140319824, 77.20420098304749, 36.060630083084106, 91.48940229415894]
MUTAG;MUTAG;['add_self_loops', 'sym_normalise_A'];False;50;0.8514912247657775;0.05684594768446469;27.051088070869447;7.366114965609306;[0.8500000238418579, 0.8999999761581421, 0.800000011920929, 0.7894737124443054, 0.8421052694320679, 0.8333333134651184, 0.7777777910232544, 0.8333333134651184, 0.9444444179534912, 0.9444444179534912];[32.97484564781189, 33.495615005493164, 33.68398594856262, 25.696648359298706, 18.287088632583618, 18.60684823989868, 18.58492636680603, 18.80687189102173, 35.16457462310791, 35.20947599411011]
