classifier;dataset;pretty_name;mean_acc;acc_std;mean_train_time(s);time_std;all_accs;all_times
GCNWithSum;{'pretty_name': 'PTC-MM'};PTC-MM;0.6558823585510254;0.05889700420556907;14.263232350349426;0.2398125509887274;[0.6470588445663452, 0.7352941036224365, 0.6176470518112183, 0.6764705777168274, 0.6470588445663452, 0.6470588445663452, 0.529411792755127, 0.6176470518112183, 0.7058823704719543, 0.7352941036224365];[14.037618160247803, 14.002270698547363, 14.011331796646118, 14.05769395828247, 14.215537071228027, 14.355693340301514, 14.167856693267822, 14.60675311088562, 14.604640483856201, 14.572928190231323]
GCNWithSum;{'pretty_name': 'PTC-FM'};PTC-FM;0.5885714530944824;0.042761796157186074;14.76890230178833;0.24215988155883236;[0.6000000238418579, 0.6571428775787354, 0.6000000238418579, 0.5142857432365417, 0.6571428775787354, 0.5714285969734192, 0.6000000238418579, 0.5714285969734192, 0.5714285969734192, 0.5428571701049805];[14.521303415298462, 14.415650367736816, 14.613560676574707, 14.519472122192383, 14.826218843460083, 14.787380933761597, 14.985052824020386, 15.25360369682312, 14.918585777282715, 14.848194360733032]
GCNWithSum;{'pretty_name': 'PTC-MR'};PTC-MR;0.5400000184774398;0.05917805235433161;15.633891224861145;0.36847232541558955;[0.6285714507102966, 0.4571428596973419, 0.4285714328289032, 0.5714285969734192, 0.5428571701049805, 0.48571428656578064, 0.5714285969734192, 0.5714285969734192, 0.5714285969734192, 0.5714285969734192];[15.070297479629517, 15.311070203781128, 15.320757627487183, 15.661620378494263, 15.323944330215454, 15.68641710281372, 15.723299741744995, 15.83567476272583, 16.05811834335327, 16.34771227836609]
GCNWithSum;{'pretty_name': 'PTC-FR'};PTC-FR;0.6666666567325592;0.041201098241041484;17.088683104515077;0.3930198766266632;[0.6944444179534912, 0.6111111044883728, 0.5833333134651184, 0.6388888955116272, 0.6944444179534912, 0.6944444179534912, 0.7222222089767456, 0.6666666865348816, 0.6666666865348816, 0.6944444179534912];[16.822794914245605, 16.627029180526733, 16.822828769683838, 16.67832899093628, 16.970437049865723, 17.158756017684937, 17.098034143447876, 17.270469665527344, 17.423323392868042, 18.01482892036438]
GCNWithSum;{};PROTEINS;0.740666671593984;0.039152119151999086;1221.536394405365;578.792760271077;[0.7200000087420145, 0.746666669845581, 0.7666666507720947, 0.7133333285649618, 0.7200000087420145, 0.6800000270207723, 0.753333330154419, 0.8333333333333334, 0.7200000087420145, 0.7533333500226339];[845.5646224021912, 924.8803896903992, 826.5990874767303, 931.0974378585815, 829.2705354690552, 933.9466936588287, 828.5453794002533, 1445.0824491977692, 2285.0081815719604, 2365.369167327881]
GCNNoSum;{};MUTAG;0.8631579041481018;0.05860803859984295;5.9539264917373655;0.30128455655924774;[0.9473684430122375, 0.7894737124443054, 0.8947368264198303, 0.9473684430122375, 0.8421052694320679, 0.7894737124443054, 0.8947368264198303, 0.8947368264198303, 0.7894737124443054, 0.8421052694320679];[5.468002796173096, 5.803802013397217, 5.634501934051514, 5.812932729721069, 5.869657039642334, 5.980692386627197, 5.909580230712891, 6.204288482666016, 6.376042366027832, 6.479764938354492]
GCNNoSum;{'pretty_name': 'PTC-MM'};PTC-MM;0.6323529481887817;0.08027848370359053;11.66963551044464;0.2734622927787435;[0.529411792755127, 0.6176470518112183, 0.529411792755127, 0.5882353186607361, 0.7941176295280457, 0.6470588445663452, 0.6764705777168274, 0.5588235259056091, 0.7058823704719543, 0.6764705777168274];[11.476979970932007, 11.267886638641357, 11.33343768119812, 11.552049398422241, 11.533990144729614, 11.634084939956665, 12.099918127059937, 11.852288484573364, 11.986711025238037, 11.959008693695068]
GCNNoSum;{'pretty_name': 'PTC-MR'};PTC-MR;0.6257143080234527;0.054883918763802025;11.775227379798888;0.29618505973872666;[0.6571428775787354, 0.6857143044471741, 0.5714285969734192, 0.5428571701049805, 0.5714285969734192, 0.6571428775787354, 0.7142857313156128, 0.5714285969734192, 0.6571428775787354, 0.6285714507102966];[11.334856271743774, 11.344528913497925, 11.419016122817993, 11.95472502708435, 11.718647003173828, 11.776654481887817, 12.195298433303833, 12.05172324180603, 11.973883390426636, 11.982940912246704]
GCNNoSum;{'pretty_name': 'PTC-FM'};PTC-FM;0.6228571653366088;0.07428570985794068;11.81050386428833;0.257046103663567;[0.5714285969734192, 0.6285714507102966, 0.8285714387893677, 0.5714285969734192, 0.6000000238418579, 0.5714285969734192, 0.6571428775787354, 0.5714285969734192, 0.6000000238418579, 0.6285714507102966];[11.622983455657959, 11.522506952285767, 11.526242733001709, 11.54616928100586, 11.880383729934692, 11.65917706489563, 12.18079924583435, 11.97421383857727, 11.960443496704102, 12.232118844985962]
GCNNoSum;{'pretty_name': 'PTC-FR'};PTC-FR;0.6194444417953491;0.08055555902678516;11.721579527854919;0.2948273699269216;[0.5277777910232544, 0.6666666865348816, 0.6388888955116272, 0.5833333134651184, 0.6111111044883728, 0.6944444179534912, 0.4722222089767456, 0.6111111044883728, 0.7777777910232544, 0.6111111044883728];[11.538182258605957, 11.32019567489624, 11.358824014663696, 11.548574924468994, 11.572447061538696, 11.687783479690552, 12.24546217918396, 11.89003872871399, 12.02457308769226, 12.029713869094849]
GCNNoSum;{'pretty_name': 'NCI-1'};NCI-1;0.7302222218778398;0.025976243502582756;183.55368008613587;18.051679635874716;[0.7422222163942125, 0.7644444306691488, 0.6911111142900255, 0.6911111076672872, 0.7444444497426351, 0.7577777703603109, 0.7599999970859952, 0.7177777886390686, 0.7155555619133843, 0.7177777820163302];[178.8158187866211, 178.2395989894867, 176.18455386161804, 176.23937797546387, 177.68691277503967, 177.79486918449402, 178.06495714187622, 177.5318088531494, 177.3205325603485, 237.6583707332611]
GCNNoSum;{'pretty_name': 'NCI-109'};NCI-109;0.7162222259574467;0.020295346373423333;795.8300610542298;53.338521988256815;[0.7222222288449606, 0.7244444489479065, 0.6888888941870795, 0.7511111166742113, 0.700000007947286, 0.731111102634006, 0.7155555552906461, 0.6844444539811876, 0.7377777695655823, 0.7066666815016005];[799.7669327259064, 727.8218927383423, 778.7276015281677, 810.3122327327728, 726.1640772819519, 845.9233095645905, 738.4440784454346, 783.9990396499634, 888.1329002380371, 859.0085456371307]
GCNNoSum;{};PROTEINS;0.7093333443005879;0.042812248723020876;596.1249470233918;34.60983367123768;[0.6200000246365865, 0.7266666889190674, 0.6733333468437195, 0.6866666674613953, 0.6933333476384481, 0.7866666714350382, 0.7266666491826376, 0.7266666889190674, 0.746666689713796, 0.7066666682561239];[541.8843815326691, 542.1251590251923, 585.1278192996979, 632.6208436489105, 579.4109847545624, 642.5794913768768, 636.5902814865112, 586.746990442276, 618.5845518112183, 595.5789668560028]
GCp1q0;{};MUTAG;0.868421059846878;0.07894736727078926;5.683020448684692;0.2092311069372726;[1.0, 0.9473684430122375, 0.7894737124443054, 0.7368420958518982, 0.8947368264198303, 0.9473684430122375, 0.8421052694320679, 0.7894737124443054, 0.8947368264198303, 0.8421052694320679];[5.51619029045105, 5.407254219055176, 5.3882646560668945, 5.586771726608276, 5.588123559951782, 5.807509422302246, 5.720555782318115, 5.998311281204224, 5.835641145706177, 5.981582403182983]
