classifier;exs_per_class;mean_acc;std_acc;accs
WLKernel;16;0.20800000000000002;0.020396078054371138;[0.18, 0.24, 0.18, 0.22, 0.2, 0.2, 0.24, 0.2, 0.22, 0.2]
WLKernel;18;0.198;0.03280243893371344;[0.14, 0.22, 0.22, 0.18, 0.22, 0.24, 0.2, 0.22, 0.2, 0.14]
WLKernel;20;0.176;0.032;[0.2, 0.24, 0.12, 0.16, 0.18, 0.18, 0.14, 0.16, 0.18, 0.2]
GCN + Sum;12;0.27800000354647636;0.2527370170813636;[0.180000002682209, 0.3000000074505806, 0.180000002682209, 0.12000000178813934, 0.10000000149011612, 0.1600000023841858, 0.3000000074505806, 1.0, 0.3200000077486038, 0.12000000178813934]
GCN + Sum;14;0.4240000057220459;0.27229395913591875;[0.20000000298023224, 0.28000000566244126, 0.8400000095367431, 0.180000002682209, 0.5600000113248825, 1.0, 0.26000000685453417, 0.4200000107288361, 0.24000000357627868, 0.2600000038743019]
GCN + Sum;16;0.3000000038743019;0.2521904039747525;[0.20000000298023224, 0.10000000149011612, 0.20000000447034835, 0.3800000101327896, 1.0, 0.20000000447034835, 0.20000000298023224, 0.1600000023841858, 0.14000000208616256, 0.4200000077486038]
GCN + Sum;18;0.2040000033378601;0.0407921565412513;[0.2200000047683716, 0.20000000298023224, 0.20000000298023224, 0.30000000447034836, 0.180000002682209, 0.22000000327825547, 0.20000000298023224, 0.22000000327825547, 0.1600000023841858, 0.14000000357627868]
GCN + Sum;20;0.3080000045895577;0.26003076762899746;[0.20000000596046447, 0.18000000417232515, 0.12000000178813934, 0.2400000050663948, 0.22000000327825547, 0.28000000715255735, 1.0, 0.12000000178813934, 0.5600000143051147, 0.1600000023841858]
GCN + Dense;12;0.4220000097155571;0.09856977491193644;[0.3000000059604645, 0.40000001192092893, 0.5200000092387199, 0.5800000131130219, 0.4200000107288361, 0.3800000071525574, 0.3800000101327896, 0.5800000160932541, 0.3000000059604645, 0.36000000685453415]
GCN + Dense;14;0.4040000092983246;0.04800000162174307;[0.4400000095367432, 0.3800000101327896, 0.3800000071525574, 0.38000000864267347, 0.3400000065565109, 0.4400000095367432, 0.40000001043081285, 0.3800000071525574, 0.3800000101327896, 0.5200000137090683]
GCN + Dense;16;0.4340000110864639;0.09425497627528363;[0.3600000083446503, 0.500000013411045, 0.4600000098347664, 0.26000000536441803, 0.5000000119209289, 0.5400000154972077, 0.5800000160932541, 0.40000001192092893, 0.34000000953674314, 0.4000000089406967]
GCN + Dense;18;0.4220000104606152;0.06539113224521004;[0.38000000864267347, 0.4600000143051147, 0.3000000089406967, 0.48000001460313796, 0.4000000089406967, 0.500000013411045, 0.46000000536441804, 0.40000001192092893, 0.34000000804662706, 0.5000000104308129]
GCN + Dense;20;0.5020000104606152;0.08829496048792654;[0.6400000110268593, 0.5400000140070915, 0.4600000098347664, 0.4600000113248825, 0.4200000107288361, 0.4200000077486038, 0.6600000083446502, 0.4600000113248825, 0.5600000113248825, 0.4000000089406967]
